,IC均值,ICIR,IC>0占比,多空年化,多空Sharpe,多空回撤,abs_ICIR
market_cap,-0.01790357548926931,-0.11542269049082846,0.4239949748743719,0.3648849905105327,1.7484835369274756,-0.4606538414955139,0.11542269049082846
momentum,-0.04340234381576487,-0.28050193324929756,0.3753153910849453,0.5743632584263676,2.6811863903594007,-0.31008440256118774,0.28050193324929756
reversal,0.05479814873761604,0.373308349544626,0.6587717459652065,0.7900427200430586,3.9238150334662087,-0.30096936225891113,0.373308349544626
volatility,0.034693341943745945,0.20736144891607655,0.5918839360807401,0.11081867640044307,0.5017000469665523,-0.501059889793396,0.20736144891607655
